ies,uf,regiao,status_juridico,ano,dominio,campo,artigos,artigos_fwci1,artigos_nacionais,artigos_abertos,citacoes,citacoes_nacionais
A.C.CAMARGO,SP,Sudeste,Privada,2021,Life Sciences,Agricultural and Biological Sciences,2,1,0,1,135,4
A.C.CAMARGO,SP,Sudeste,Privada,2021,Life Sciences,"Biochemistry, Genetics and Molecular Biology",38,15,8,30,1891,14
A.C.CAMARGO,SP,Sudeste,Privada,2021,Physical Sciences,Computer Science,4,2,2,4,163,4
A.C.CAMARGO,SP,Sudeste,Privada,2021,Social Sciences,Decision Sciences,2,1,1,1,75,6
A.C.CAMARGO,SP,Sudeste,Privada,2021,Health Sciences,Dentistry,2,1,1,2,29,2
A.C.CAMARGO,SP,Sudeste,Privada,2021,Social Sciences,"Economics, Econometrics and Finance",2,1,0,1,92,3
A.C.CAMARGO,SP,Sudeste,Privada,2021,Physical Sciences,Environmental Science,2,1,0,2,100,0
A.C.CAMARGO,SP,Sudeste,Privada,2021,Health Sciences,Health Professions,8,4,2,4,291,4
A.C.CAMARGO,SP,Sudeste,Privada,2021,Life Sciences,Immunology and Microbiology,9,2,2,8,509,3
A.C.CAMARGO,SP,Sudeste,Privada,2021,Physical Sciences,Mathematics,1,1,0,1,43,2
A.C.CAMARGO,SP,Sudeste,Privada,2021,Health Sciences,Medicine,295,102,75,221,9518,209
A.C.CAMARGO,SP,Sudeste,Privada,2021,Life Sciences,Neuroscience,3,2,0,2,94,0
A.C.CAMARGO,SP,Sudeste,Privada,2021,Health Sciences,Nursing,2,0,2,2,13,1
A.C.CAMARGO,SP,Sudeste,Privada,2021,Physical Sciences,Physics and Astronomy,2,0,1,2,78,0
A.C.CAMARGO,SP,Sudeste,Privada,2021,Social Sciences,Psychology,2,1,1,2,38,10
A.C.CAMARGO,SP,Sudeste,Privada,2021,Social Sciences,Social Sciences,6,3,3,4,149,13
A.C.CAMARGO,SP,Sudeste,Privada,2022,Life Sciences,Agricultural and Biological Sciences,3,1,1,3,91,8
A.C.CAMARGO,SP,Sudeste,Privada,2022,Life Sciences,"Biochemistry, Genetics and Molecular Biology",46,13,7,35,2059,19
A.C.CAMARGO,SP,Sudeste,Privada,2022,Physical Sciences,Computer Science,2,1,1,2,63,13
A.C.CAMARGO,SP,Sudeste,Privada,2022,Health Sciences,Dentistry,10,4,1,6,303,6
A.C.CAMARGO,SP,Sudeste,Privada,2022,Social Sciences,"Economics, Econometrics and Finance",4,2,0,2,106,2
A.C.CAMARGO,SP,Sudeste,Privada,2022,Physical Sciences,Engineering,2,0,1,2,14,0
A.C.CAMARGO,SP,Sudeste,Privada,2022,Health Sciences,Health Professions,7,4,2,7,281,24
A.C.CAMARGO,SP,Sudeste,Privada,2022,Life Sciences,Immunology and Microbiology,10,4,2,8,466,7
A.C.CAMARGO,SP,Sudeste,Privada,2022,Physical Sciences,Materials Science,2,1,0,1,37,0
A.C.CAMARGO,SP,Sudeste,Privada,2022,Physical Sciences,Mathematics,1,0,0,0,26,1
A.C.CAMARGO,SP,Sudeste,Privada,2022,Health Sciences,Medicine,247,81,68,192,7259,149
A.C.CAMARGO,SP,Sudeste,Privada,2022,Health Sciences,Nursing,1,0,0,1,9,0
A.C.CAMARGO,SP,Sudeste,Privada,2022,Physical Sciences,Physics and Astronomy,1,0,0,0,91,2
A.C.CAMARGO,SP,Sudeste,Privada,2022,Social Sciences,Social Sciences,5,1,4,5,67,22
A.C.CAMARGO,SP,Sudeste,Privada,2023,Life Sciences,Agricultural and Biological Sciences,1,0,0,1,84,0
A.C.CAMARGO,SP,Sudeste,Privada,2023,Social Sciences,Arts and Humanities,1,0,1,1,16,4
A.C.CAMARGO,SP,Sudeste,Privada,2023,Life Sciences,"Biochemistry, Genetics and Molecular Biology",38,12,6,34,1328,20
A.C.CAMARGO,SP,Sudeste,Privada,2023,Physical Sciences,Chemical Engineering,1,0,1,1,58,20
A.C.CAMARGO,SP,Sudeste,Privada,2023,Physical Sciences,Computer Science,5,2,3,4,89,2
A.C.CAMARGO,SP,Sudeste,Privada,2023,Health Sciences,Dentistry,8,5,3,7,217,2
A.C.CAMARGO,SP,Sudeste,Privada,2023,Social Sciences,"Economics, Econometrics and Finance",2,1,0,2,43,2
A.C.CAMARGO,SP,Sudeste,Privada,2023,Physical Sciences,Engineering,2,1,0,2,133,0
A.C.CAMARGO,SP,Sudeste,Privada,2023,Physical Sciences,Environmental Science,1,0,1,1,58,20
A.C.CAMARGO,SP,Sudeste,Privada,2023,Health Sciences,Health Professions,9,3,4,8,233,11
A.C.CAMARGO,SP,Sudeste,Privada,2023,Life Sciences,Immunology and Microbiology,15,4,2,12,598,1
A.C.CAMARGO,SP,Sudeste,Privada,2023,Health Sciences,Medicine,249,86,65,199,8609,201
