ies_a,lat_a,lon_a,ies_b,lat_b,lon_b,projetos
USP,-23.56,-46.73,UFRJ,-22.86,-43.23,180
USP,-23.56,-46.73,UNICAMP,-22.82,-47.07,210
USP,-23.56,-46.73,UFMG,-19.87,-43.97,140
USP,-23.56,-46.73,UFRGS,-30.03,-51.22,120
USP,-23.56,-46.73,UFPE,-8.05,-34.95,90
USP,-23.56,-46.73,UFBA,-13.00,-38.51,75
USP,-23.56,-46.73,UFC,-3.74,-38.57,60
USP,-23.56,-46.73,UFAM,-3.10,-60.02,40
UFRJ,-22.86,-43.23,UFMG,-19.87,-43.97,110
UFRJ,-22.86,-43.23,UFRGS,-30.03,-51.22,95
UFRJ,-22.86,-43.23,UFPE,-8.05,-34.95,70
UNICAMP,-22.82,-47.07,UFSCAR,-21.98,-47.88,130
UNICAMP,-22.82,-47.07,UFMG,-19.87,-43.97,85
UFMG,-19.87,-43.97,UFBA,-13.00,-38.51,55
UFRGS,-30.03,-51.22,UFSC,-27.60,-48.52,100
UFPE,-8.05,-34.95,UFC,-3.74,-38.57,65
UFPE,-8.05,-34.95,UFBA,-13.00,-38.51,80
UFPA,-1.47,-48.46,UFAM,-3.10,-60.02,50
UFC,-3.74,-38.57,UFRN,-5.84,-35.20,45
UFSC,-27.60,-48.52,UFPR,-25.45,-49.23,90
