pais_a,lat_a,lon_a,pais_b,lat_b,lon_b,artigos
Brazil,-9.64,-56.95,United States of America,39.78,-100.45,1240
Brazil,-9.64,-56.95,Portugal,39.69,-8.13,860
Brazil,-9.64,-56.95,United Kingdom,54.12,-2.86,540
Brazil,-9.64,-56.95,Germany,51.10,10.38,510
Brazil,-9.64,-56.95,France,46.56,2.46,470
Brazil,-9.64,-56.95,Spain,39.90,-2.99,430
Brazil,-9.64,-56.95,Argentina,-36.94,-65.15,390
Brazil,-9.64,-56.95,Canada,61.37,-98.31,300
Brazil,-9.64,-56.95,Italy,42.80,12.07,280
Brazil,-9.64,-56.95,Australia,-25.73,134.49,210
Brazil,-9.64,-56.95,China,36.56,103.82,260
Brazil,-9.64,-56.95,Japan,37.59,138.03,150
Brazil,-9.64,-56.95,Netherlands,52.10,5.28,180
Brazil,-9.64,-56.95,Mexico,23.95,-102.52,170
Brazil,-9.64,-56.95,South Africa,-29.00,25.08,120
