country,lat,lon
Afghanistan,34.8037,67.6911
Angola,-10.9351,17.4399
Albania,41.2732,20.1096
United Arab Emirates,24.1954,54.2434
Argentina,-36.9428,-65.1519
Armenia,40.0616,45.1642
Antarctica,-72.9047,-2.8183
French Southern and Antarctic Lands,-49.1186,69.4608
Australia,-23.7216,133.3237
Austria,47.6447,13.4846
Azerbaijan,40.3551,47.4334
Burundi,-3.3943,29.9554
Belgium,50.668,4.3922
Benin,9.8084,2.3273
Burkina Faso,12.0928,-1.8504
Bangladesh,23.3989,90.6113
Bulgaria,42.8937,24.6873
The Bahamas,24.3514,-77.8641
Bosnia and Herzegovina,44.2548,17.8923
Belarus,53.3246,28.1145
Belize,17.4172,-88.6304
Bermuda,32.3132,-64.7701
Bolivia,-16.5213,-64.0187
Brazil,-9.639,-56.9471
Brunei,4.6284,114.8426
Bhutan,27.4678,90.6151
Botswana,-22.3878,24.3768
Central African Republic,6.3295,20.508
Canada,56.4778,-90.6242
Switzerland,46.7969,8.3065
Chile,-38.1572,-71.4339
China,37.3392,105.8745
Ivory Coast,7.8313,-6.2331
Cameroon,6.7327,13.1453
Democratic Republic of the Congo,-3.7711,23.0136
Republic of the Congo,-1.0893,14.8157
Colombia,4.4766,-72.7379
Costa Rica,9.7849,-84.1735
Cuba,21.7228,-79.7331
Northern Cyprus,35.1773,33.4265
Cyprus,35.0192,33.327
Czech Republic,49.707,15.9036
Germany,51.0655,10.6188
Djibouti,11.8109,42.5708
Denmark,56.3599,9.6777
Dominican Republic,18.7902,-70.4936
Algeria,29.6025,3.3499
Ecuador,-1.7356,-78.8539
Egypt,28.2434,31.5161
Eritrea,14.6449,39.7998
Spain,40.2691,-4.4817
Estonia,58.5066,25.7099
Ethiopia,9.1013,39.0416
Finland,65.4771,25.7718
Fiji,-17.7246,178.046
Falkland Islands,-51.735,-59.585
France,47.0237,3.2459
Gabon,-0.5388,11.8855
United Kingdom,54.0057,-3.0828
Georgia,42.1793,43.4303
Ghana,8.0867,-0.9292
